epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,58.6234,1.3565,0.85499,1.08936,0.80461,0.79724,0.84883,0.40109,1.78356,0.9692,1.22527,0.0007526,0.0007526,0.0007526
65,59.5275,1.3545,0.86826,1.10712,0.87257,0.73733,0.83716,0.39475,1.78218,0.97897,1.21991,0.0007328,0.0007328,0.0007328
66,60.4387,1.34959,0.84661,1.06991,0.82365,0.73179,0.84502,0.41022,1.7465,0.95395,1.21325,0.000713,0.000713,0.000713
67,61.3355,1.32583,0.84775,1.06748,0.77879,0.79499,0.85303,0.39821,1.78424,0.95676,1.23907,0.0006932,0.0006932,0.0006932
68,62.2477,1.33158,0.83145,1.07725,0.80963,0.82318,0.8579,0.39106,1.7868,0.9771,1.23345,0.0006734,0.0006734,0.0006734
69,63.1604,1.32604,0.82384,1.07761,0.85153,0.7665,0.8532,0.40741,1.72579,0.97853,1.2066,0.0006536,0.0006536,0.0006536
70,64.0712,1.28378,0.82074,1.06187,0.81515,0.81286,0.87055,0.39513,1.76542,0.98145,1.2142,0.0006338,0.0006338,0.0006338
71,64.9852,1.33301,0.87864,1.09102,0.8608,0.75576,0.85776,0.39806,1.76046,0.96868,1.21495,0.000614,0.000614,0.000614
72,65.8787,1.31823,0.82761,1.08027,0.85122,0.76462,0.85152,0.39744,1.79072,0.93711,1.22336,0.0005942,0.0005942,0.0005942
73,66.774,1.28007,0.8131,1.05952,0.8827,0.73733,0.85135,0.38705,1.84538,0.94667,1.24692,0.0005744,0.0005744,0.0005744
74,67.6791,1.26247,0.8091,1.06087,0.88078,0.74904,0.86283,0.4145,1.75725,0.90739,1.20664,0.0005546,0.0005546,0.0005546
75,68.5826,1.29928,0.82122,1.08128,0.88878,0.76037,0.86766,0.42673,1.73314,0.90665,1.20705,0.0005348,0.0005348,0.0005348
76,69.5028,1.25911,0.79244,1.04689,0.86214,0.79263,0.86214,0.40929,1.78642,0.93934,1.24821,0.000515,0.000515,0.000515
77,70.4074,1.23641,0.78009,1.04252,0.85477,0.78658,0.85585,0.40078,1.78358,0.9433,1.25023,0.0004952,0.0004952,0.0004952
78,71.3257,1.27099,0.79022,1.05496,0.84661,0.81567,0.86131,0.41695,1.75537,0.93539,1.20882,0.0004754,0.0004754,0.0004754
79,72.224,1.26746,0.79254,1.07368,0.82967,0.81106,0.85828,0.4196,1.74363,0.92271,1.19533,0.0004556,0.0004556,0.0004556
80,73.1283,1.24785,0.79015,1.05575,0.88641,0.75523,0.85918,0.42397,1.7184,0.90245,1.19446,0.0004358,0.0004358,0.0004358
81,74.0349,1.29576,0.79295,1.06836,0.8898,0.74654,0.86639,0.42099,1.70517,0.901,1.18899,0.000416,0.000416,0.000416
82,74.9413,1.25546,0.81035,1.07846,0.82446,0.82949,0.87144,0.43178,1.70718,0.90268,1.17687,0.0003962,0.0003962,0.0003962
83,75.8424,1.24065,0.77707,1.04585,0.83459,0.8138,0.87178,0.42721,1.72972,0.89635,1.18177,0.0003764,0.0003764,0.0003764
84,76.749,1.22857,0.78073,1.05287,0.87144,0.79724,0.88043,0.42076,1.7597,0.89109,1.19437,0.0003566,0.0003566,0.0003566
85,77.6378,1.22188,0.75656,1.04599,0.83049,0.82949,0.8759,0.42344,1.76477,0.88103,1.19556,0.0003368,0.0003368,0.0003368
86,78.5456,1.23518,0.76411,1.0439,0.81422,0.84793,0.87685,0.43536,1.73199,0.85911,1.1828,0.000317,0.000317,0.000317
87,79.4613,1.19831,0.76283,1.03745,0.83367,0.8341,0.87387,0.43651,1.72193,0.8548,1.18085,0.0002972,0.0002972,0.0002972
88,80.3743,1.2184,0.75666,1.03631,0.81354,0.84449,0.87706,0.43186,1.74336,0.869,1.19129,0.0002774,0.0002774,0.0002774
89,81.2687,1.19777,0.75195,1.03882,0.81546,0.8341,0.87363,0.4272,1.74835,0.86577,1.19157,0.0002576,0.0002576,0.0002576
90,82.1842,1.19969,0.76555,1.02857,0.84702,0.82949,0.87798,0.42539,1.73962,0.85883,1.18554,0.0002378,0.0002378,0.0002378
91,83.8016,1.18233,0.93891,1.04193,0.85248,0.8341,0.87668,0.42791,1.73828,0.86027,1.18422,0.000218,0.000218,0.000218
92,84.7584,1.18271,0.91434,1.03035,0.83857,0.82949,0.87382,0.42902,1.73929,0.86748,1.1869,0.0001982,0.0001982,0.0001982
93,85.6269,1.20551,0.85204,1.0348,0.81388,0.80606,0.86011,0.42844,1.74455,0.87109,1.18891,0.0001784,0.0001784,0.0001784
94,86.5027,1.14761,0.7822,1.01953,0.85433,0.75678,0.86039,0.42286,1.75073,0.88319,1.18937,0.0001586,0.0001586,0.0001586
95,87.3613,1.15436,0.77578,1.0167,0.77715,0.84332,0.8608,0.4146,1.75332,0.88751,1.19013,0.0001388,0.0001388,0.0001388
96,88.2391,1.12904,0.75478,1.01242,0.84568,0.7576,0.85633,0.41683,1.75016,0.89149,1.186,0.000119,0.000119,0.000119
97,89.1115,1.15582,0.75629,1.0084,0.86315,0.75574,0.85724,0.42272,1.74628,0.89381,1.18446,9.92e-05,9.92e-05,9.92e-05
98,90.0075,1.13574,0.75928,1.01691,0.85645,0.75576,0.85752,0.42793,1.73181,0.88493,1.18071,7.94e-05,7.94e-05,7.94e-05
99,90.8849,1.12856,0.72907,1.00538,0.85528,0.76498,0.85602,0.43061,1.72528,0.88485,1.17963,5.96e-05,5.96e-05,5.96e-05
100,91.7806,1.15902,0.7692,1.01638,0.83656,0.79263,0.86359,0.43102,1.72046,0.88656,1.1798,3.98e-05,3.98e-05,3.98e-05
