epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,98.713,1.22782,0.68153,1.05918,0.88333,0.8025,0.87201,0.40343,1.78417,0.91069,1.27916,0.0006536,0.0006536,0.0006536
70,100.206,1.17852,0.67588,1.04514,0.87854,0.83332,0.87527,0.41453,1.80835,0.83973,1.29958,0.0006338,0.0006338,0.0006338
71,101.648,1.23733,0.71826,1.08262,0.84266,0.83917,0.87779,0.43075,1.75864,0.79956,1.25542,0.000614,0.000614,0.000614
72,103.123,1.21275,0.68832,1.05523,0.86261,0.80645,0.89017,0.43469,1.7659,0.78398,1.25615,0.0005942,0.0005942,0.0005942
73,104.58,1.18195,0.66092,1.04128,0.83209,0.83871,0.89124,0.42905,1.78229,0.79954,1.28211,0.0005744,0.0005744,0.0005744
74,106.044,1.16404,0.65622,1.0548,0.85489,0.81447,0.87662,0.41745,1.75987,0.84423,1.2855,0.0005546,0.0005546,0.0005546
75,107.506,1.17535,0.66868,1.0586,0.85371,0.82949,0.8749,0.4213,1.73385,0.83764,1.26944,0.0005348,0.0005348,0.0005348
76,108.97,1.14236,0.63163,1.0182,0.84938,0.84793,0.88124,0.41925,1.78718,0.82846,1.3049,0.000515,0.000515,0.000515
77,110.429,1.12227,0.63193,1.02013,0.84825,0.85009,0.88302,0.4135,1.82161,0.80086,1.31773,0.0004952,0.0004952,0.0004952
78,111.832,1.1424,0.63017,1.03298,0.84012,0.84756,0.89199,0.43214,1.78173,0.75756,1.27044,0.0004754,0.0004754,0.0004754
79,113.193,1.14033,0.62462,1.0427,0.83725,0.82028,0.89348,0.43589,1.76645,0.76115,1.26069,0.0004556,0.0004556,0.0004556
80,114.559,1.10156,0.61011,1.02213,0.87481,0.80184,0.89004,0.43308,1.77481,0.7683,1.27973,0.0004358,0.0004358,0.0004358
81,115.981,1.13548,0.63161,1.04047,0.91111,0.78341,0.87746,0.43339,1.78089,0.76343,1.28047,0.000416,0.000416,0.000416
82,117.384,1.10184,0.64526,1.04967,0.90281,0.7788,0.89313,0.44501,1.76276,0.75403,1.26142,0.0003962,0.0003962,0.0003962
83,118.768,1.08555,0.60978,1.01507,0.92148,0.78802,0.89675,0.44453,1.76321,0.74849,1.25963,0.0003764,0.0003764,0.0003764
84,120.15,1.11379,0.62113,1.02593,0.91916,0.7788,0.89312,0.4495,1.78229,0.7527,1.26943,0.0003566,0.0003566,0.0003566
85,121.594,1.06142,0.59376,1.0131,0.88854,0.79724,0.89171,0.45234,1.77774,0.74566,1.26847,0.0003368,0.0003368,0.0003368
86,123.055,1.08163,0.59959,1.00932,0.8974,0.79724,0.88756,0.45485,1.72986,0.76294,1.25312,0.000317,0.000317,0.000317
87,124.479,1.04729,0.58972,1.00731,0.87113,0.80184,0.88403,0.45513,1.74291,0.77188,1.2524,0.0002972,0.0002972,0.0002972
88,125.918,1.05499,0.60333,0.99944,0.82698,0.8341,0.89339,0.44121,1.77304,0.77236,1.26567,0.0002774,0.0002774,0.0002774
89,127.263,1.03371,0.57846,1.00145,0.83389,0.8341,0.89185,0.44211,1.7678,0.7595,1.26725,0.0002576,0.0002576,0.0002576
90,128.617,1.03605,0.58846,0.99216,0.86312,0.84332,0.89325,0.44342,1.74855,0.73698,1.2591,0.0002378,0.0002378,0.0002378
91,130.623,1.05828,0.64774,1.01779,0.8579,0.83464,0.89505,0.44371,1.74627,0.7395,1.2615,0.000218,0.000218,0.000218
92,132.045,1.06621,0.62598,1.00209,0.91661,0.81049,0.89946,0.44976,1.75674,0.73477,1.26815,0.0001982,0.0001982,0.0001982
93,133.401,1.05734,0.59515,0.99964,0.90861,0.80645,0.89648,0.44642,1.75462,0.72993,1.27321,0.0001784,0.0001784,0.0001784
94,134.76,1.00539,0.55659,0.98879,0.85173,0.84332,0.89321,0.4517,1.76554,0.72989,1.29541,0.0001586,0.0001586,0.0001586
95,136.098,1.00487,0.55613,0.9876,0.85196,0.82949,0.89299,0.44653,1.77139,0.73206,1.30692,0.0001388,0.0001388,0.0001388
96,137.464,0.9982,0.54907,0.98902,0.83495,0.83871,0.88825,0.44848,1.76149,0.72935,1.30549,0.000119,0.000119,0.000119
97,138.806,1.00413,0.54493,0.97868,0.87248,0.82488,0.89004,0.44959,1.75342,0.73476,1.30059,9.92e-05,9.92e-05,9.92e-05
98,140.138,0.9846,0.54487,0.98207,0.86019,0.8222,0.88871,0.4508,1.75221,0.74396,1.29332,7.94e-05,7.94e-05,7.94e-05
99,141.502,0.96746,0.53254,0.97389,0.85935,0.82028,0.88629,0.45152,1.75118,0.75248,1.29322,5.96e-05,5.96e-05,5.96e-05
100,142.876,1.00135,0.55954,0.98591,0.85867,0.82949,0.88359,0.44782,1.75141,0.7608,1.29171,3.98e-05,3.98e-05,3.98e-05
